iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max
179,4.775392e-02,2.755790e-01,0.000000e+00,0,0,0,1.821906e-05,4.360451e-06
180,4.858131e-02,4.944288e-01,0.000000e+00,0,0,0,1.839800e-05,4.440017e-06
181,4.734619e-02,7.354990e-02,7.140518e+01,414,85,14,4.140423e-01,8.904428e-02
182,4.916378e-02,2.892845e-01,0.000000e+00,0,0,0,1.852394e-05,4.501333e-06
183,5.003943e-02,5.197676e-01,0.000000e+00,0,0,0,1.874423e-05,4.594193e-06
184,4.881976e-02,7.660502e-02,7.466366e+01,414,85,14,4.323477e-01,9.186459e-02
185,5.067195e-02,3.002360e-01,0.000000e+00,0,0,0,1.893959e-05,4.674847e-06
186,5.154781e-02,5.410730e-01,0.000000e+00,0,0,0,1.917543e-05,4.777267e-06
187,5.031854e-02,7.945752e-02,7.749057e+01,414,85,14,4.395952e-01,9.468704e-02
188,5.215764e-02,3.084511e-01,0.000000e+00,0,0,0,1.939548e-05,4.837847e-06
189,5.298631e-02,5.580375e-01,0.000000e+00,0,0,0,1.958561e-05,4.924231e-06
190,5.173142e-02,8.193022e-02,7.806639e+01,414,85,14,4.242090e-01,9.256025e-02
191,5.349621e-02,3.128378e-01,0.000000e+00,0,0,0,1.976600e-05,4.961553e-06
192,5.284477e-02,6.962270e-02,6.001917e+01,414,88,13,2.923896e-01,6.616840e-02
193,5.403379e-02,3.141028e-01,0.000000e+00,0,0,0,1.971646e-05,4.949176e-06
194,5.380579e-02,6.809232e-02,5.382540e+01,414,88,13,2.638614e-01,5.675313e-02
195,5.462871e-02,3.099104e-01,0.000000e+00,0,0,0,1.990699e-05,4.996195e-06
196,5.543756e-02,5.557861e-01,0.000000e+00,0,0,0,2.028002e-05,5.098037e-06
197,5.494215e-02,7.827520e-02,7.185979e+01,414,85,14,3.862817e-01,8.102198e-02
198,5.587186e-02,2.962047e-01,0.000000e+00,0,0,0,2.049461e-05,5.163835e-06
199,5.690319e-02,5.409141e-01,0.000000e+00,0,0,0,2.068408e-05,5.235500e-06
200,5.617069e-02,7.741487e-02,7.910418e+01,414,85,14,4.200623e-01,9.440839e-02
201,5.751227e-02,2.802876e-01,0.000000e+00,0,0,0,2.086836e-05,5.275454e-06
202,5.872006e-02,5.199116e-01,0.000000e+00,0,0,0,2.100921e-05,5.312259e-06
203,5.738065e-02,7.542026e-02,8.304705e+01,414,85,14,4.137811e-01,9.178059e-02
204,5.930731e-02,2.672696e-01,0.000000e+00,0,0,0,2.120129e-05,5.344652e-06
205,6.053136e-02,5.038779e-01,0.000000e+00,0,0,0,2.133763e-05,5.377331e-06
206,5.871763e-02,7.390714e-02,8.407332e+01,414,85,14,4.056615e-01,8.983096e-02
207,6.107457e-02,2.590626e-01,0.000000e+00,0,0,0,2.147591e-05,5.380704e-06
208,6.228566e-02,4.949092e-01,0.000000e+00,0,0,0,2.157980e-05,5.405741e-06
209,6.039990e-02,7.321137e-02,8.218906e+01,414,85,14,3.866374e-01,8.552796e-02
210,6.270385e-02,2.560509e-01,0.000000e+00,0,0,0,2.166210e-05,5.403547e-06
211,6.358542e-02,4.932430e-01,0.000000e+00,0,0,0,2.118297e-05,5.325063e-06
212,6.117665e-02,7.280129e-02,8.828972e+01,414,85,14,2.786728e-01,6.035057e-02
213,6.240352e-02,2.920938e-01,0.000000e+00,0,0,0,1.969255e-05,5.007834e-06
214,6.252337e-02,4.917420e-01,0.000000e+00,0,0,0,1.865650e-05,4.748431e-06
215,5.984463e-02,7.209414e-02,1.003581e+02,414,85,14,3.062745e-01,5.834001e-02
216,6.016525e-02,3.002907e-01,0.000000e+00,0,0,0,1.747787e-05,4.470323e-06
217,6.011716e-02,4.855419e-01,0.000000e+00,0,0,0,1.684138e-05,4.219596e-06
218,5.756173e-02,7.096016e-02,9.517099e+01,414,85,14,3.911352e-01,5.926044e-02
219,5.722053e-02,2.685701e-01,0.000000e+00,0,0,0,1.574509e-05,4.000403e-06
220,5.710666e-02,4.657931e-01,0.000000e+00,0,0,0,1.525023e-05,3.766144e-06
221,5.491997e-02,6.770480e-02,7.983662e+01,415,85,14,4.233203e-01,8.465713e-02
222,5.400694e-02,2.537839e-01,0.000000e+00,0,0,0,1.427942e-05,3.595113e-06
223,5.388211e-02,4.408780e-01,0.000000e+00,0,0,0,1.388674e-05,3.379718e-06
224,5.317609e-02,5.570669e-01,0.000000e+00,0,0,0,1.283084e-05,3.079166e-06
225,5.103626e-02,7.259589e-02,6.749254e+01,415,85,14,5.687468e-01,1.345128e-01
226,4.964872e-02,2.407057e-01,0.000000e+00,0,0,0,1.251881e-05,3.099796e-06
227,4.974528e-02,4.095959e-01,0.000000e+00,0,0,0,1.252209e-05,2.981471e-06
228,4.910949e-02,5.170172e-01,0.000000e+00,0,0,0,1.153496e-05,2.715173e-06
229,4.728720e-02,6.827557e-02,5.865424e+01,359,85,14,5.322066e-01,1.395637e-01
230,4.582528e-02,2.249717e-01,0.000000e+00,0,0,0,1.127702e-05,2.754854e-06
231,4.593719e-02,3.763812e-01,0.000000e+00,0,0,0,1.134071e-05,2.666139e-06
232,4.538344e-02,4.840657e-01,0.000000e+00,0,0,0,1.045748e-05,2.430311e-06
233,4.458328e-02,5.616771e-01,0.000000e+00,0,0,0,9.586966e-06,2.175816e-06
234,4.303440e-02,6.961858e-02,7.091234e+01,360,86,13,6.184325e-01,1.654166e-01
235,4.170063e-02,2.114725e-01,0.000000e+00,0,0,0,9.994108e-06,2.395602e-06
236,4.190502e-02,3.550905e-01,0.000000e+00,0,0,0,1.039846e-05,2.408525e-06
