iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max
201,3.171668e-01,7.602959e-01,3.007933e+01,31,43,24,8.653564e-03,4.669386e-04
202,3.155079e-01,7.609749e-01,3.074166e+01,31,43,24,8.567078e-03,4.607520e-04
203,3.134902e-01,7.049389e-01,2.964614e+01,33,42,25,8.561956e-03,4.894040e-04
204,3.157296e-01,6.696053e-01,3.011966e+01,33,42,25,8.712554e-03,5.009471e-04
205,3.171329e-01,6.571198e-01,2.943678e+01,33,42,24,8.764994e-03,4.662196e-04
206,3.174471e-01,6.069756e-01,3.024963e+01,32,42,24,8.708356e-03,4.535762e-04
207,3.169145e-01,5.446205e-01,3.086440e+01,32,42,24,8.763956e-03,4.514414e-04
208,3.158353e-01,5.226402e-01,3.135961e+01,32,42,24,8.691045e-03,4.522454e-04
209,3.141264e-01,5.198059e-01,2.979940e+01,32,42,24,8.692296e-03,4.468140e-04
210,3.124297e-01,5.198784e-01,2.678378e+01,31,42,24,8.716928e-03,4.409325e-04
211,3.105119e-01,5.094147e-01,2.638563e+01,31,42,24,8.731718e-03,4.520957e-04
212,3.083372e-01,5.053005e-01,2.507130e+01,31,42,24,8.732127e-03,4.471524e-04
213,3.092306e-01,4.964695e-01,2.523309e+01,33,41,24,8.680007e-03,4.450692e-04
214,3.102511e-01,5.180016e-01,2.571241e+01,33,41,24,8.601984e-03,4.470353e-04
215,3.104420e-01,5.370064e-01,2.616258e+01,32,41,24,8.652855e-03,4.640910e-04
216,3.099093e-01,5.666847e-01,2.689491e+01,32,41,24,8.667396e-03,4.493015e-04
217,3.088146e-01,5.825500e-01,2.749190e+01,32,41,24,8.590898e-03,4.422774e-04
218,3.072542e-01,6.028862e-01,2.787112e+01,32,41,24,8.560473e-03,4.404482e-04
219,3.055024e-01,6.034737e-01,2.630231e+01,32,41,24,8.453792e-03,4.245140e-04
220,3.037117e-01,5.887527e-01,2.527489e+01,32,41,24,8.304716e-03,4.283882e-04
221,3.017864e-01,5.930290e-01,2.136719e+01,31,41,24,8.238241e-03,4.258017e-04
222,2.999021e-01,6.069965e-01,2.222840e+01,33,40,24,8.251481e-03,4.510203e-04
223,3.009308e-01,5.639515e-01,2.212054e+01,33,40,24,8.359212e-03,4.587084e-04
224,3.014399e-01,5.297890e-01,2.257194e+01,32,40,24,8.380772e-03,4.650164e-04
225,3.013668e-01,4.817581e-01,2.282612e+01,32,40,24,8.520362e-03,4.511301e-04
226,3.006856e-01,4.354076e-01,2.297315e+01,32,40,24,8.649169e-03,4.655448e-04
227,2.992477e-01,3.973284e-01,2.348221e+01,32,40,24,8.747056e-03,4.687448e-04
228,2.975498e-01,4.010544e-01,2.345478e+01,32,40,24,8.885579e-03,4.767357e-04
229,2.958628e-01,3.986940e-01,2.190152e+01,32,40,24,8.836466e-03,4.683524e-04
