iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max
188,3.154935e-01,7.132912e-01,3.616133e+01,32,44,24,8.878079e-03,5.897465e-04
189,3.187259e-01,6.524887e-01,3.513694e+01,32,44,24,8.915029e-03,5.758060e-04
190,3.201332e-01,6.385460e-01,3.396614e+01,32,44,24,8.929147e-03,5.448106e-04
191,3.186117e-01,6.487465e-01,2.965298e+01,31,44,24,8.771036e-03,4.857716e-04
192,3.173422e-01,6.726456e-01,3.143370e+01,31,44,24,8.867322e-03,5.295218e-04
193,3.156573e-01,7.111607e-01,3.187453e+01,31,44,24,8.841384e-03,5.652832e-04
194,3.137880e-01,7.250519e-01,3.106680e+01,33,43,25,8.860296e-03,5.619169e-04
195,3.118043e-01,7.298050e-01,3.037809e+01,32,43,24,8.780321e-03,4.968665e-04
196,3.148805e-01,7.344093e-01,3.193265e+01,32,43,24,8.771253e-03,4.887877e-04
197,3.170253e-01,7.743702e-01,3.424722e+01,32,43,24,8.802623e-03,5.626565e-04
198,3.182039e-01,7.599869e-01,3.393136e+01,32,43,24,8.659776e-03,5.292193e-04
199,3.181515e-01,7.514191e-01,3.297570e+01,32,43,24,8.626441e-03,4.806888e-04
200,3.170078e-01,7.223167e-01,2.801315e+01,31,43,24,8.586470e-03,4.600105e-04
201,3.154645e-01,7.405891e-01,2.985134e+01,31,43,24,8.448370e-03,4.580526e-04
202,3.137797e-01,7.444057e-01,3.072731e+01,31,43,24,8.340309e-03,4.483698e-04
203,3.119102e-01,7.004585e-01,2.944269e+01,33,42,25,8.355726e-03,4.769502e-04
204,3.116830e-01,6.652069e-01,2.928221e+01,33,42,25,8.463083e-03,4.711825e-04
205,3.137427e-01,6.332703e-01,2.942750e+01,32,42,24,8.575790e-03,4.630722e-04
206,3.148938e-01,5.903549e-01,3.037132e+01,32,42,24,8.657174e-03,4.886063e-04
207,3.151125e-01,5.368729e-01,3.072119e+01,32,42,24,8.650726e-03,4.918918e-04
208,3.142419e-01,5.234375e-01,3.077128e+01,32,42,24,8.557703e-03,4.368925e-04
209,3.126966e-01,5.216751e-01,2.925561e+01,32,42,24,8.539779e-03,4.334438e-04
210,3.110385e-01,5.186691e-01,2.661878e+01,31,42,24,8.531346e-03,4.415020e-04
211,3.092192e-01,5.067158e-01,2.647337e+01,31,42,24,8.511389e-03,4.425347e-04
212,3.072379e-01,5.082455e-01,2.555703e+01,31,42,24,8.484904e-03,4.359610e-04
213,3.058139e-01,4.984608e-01,2.474264e+01,32,41,24,8.396852e-03,4.350591e-04
214,3.073962e-01,5.178013e-01,2.553083e+01,32,41,24,8.410847e-03,4.339203e-04
215,3.083847e-01,5.470161e-01,2.628594e+01,32,41,24,8.432416e-03,4.197308e-04
216,3.083750e-01,5.619850e-01,2.706295e+01,32,41,24,8.483168e-03,4.237653e-04
