iter,u_fl,u_bd,u_in,div_fl,div_bd,div_in,p_fl,p_bd,p_in,nin,nbd
122,1.065027e-01,6.507887e-02,5.718804e-02,4.550171e-01,2.898049e+01,2.136962e+01,4.570824e+00,5.053683e+00,3.356158e+00,5024,5468
123,1.060667e-01,6.336153e-02,5.861728e-02,3.685749e-01,2.942603e+01,2.536484e+01,4.811060e+00,5.249675e+00,3.450635e+00,5010,5491
124,1.054761e-01,6.191929e-02,6.025634e-02,3.813710e-01,3.007979e+01,1.933132e+01,5.027618e+00,5.501043e+00,3.539134e+00,4997,5519
125,1.051252e-01,6.639242e-02,6.275721e-02,4.421692e-01,3.250866e+01,2.216959e+01,5.224185e+00,5.798682e+00,3.608493e+00,5008,5515
126,1.053394e-01,6.990278e-02,6.514811e-02,4.430733e-01,3.659644e+01,1.990827e+01,5.568082e+00,6.178829e+00,3.651850e+00,4990,5546
127,1.054307e-01,7.126560e-02,6.749175e-02,4.268970e-01,4.042579e+01,2.147766e+01,6.034981e+00,6.471595e+00,3.698128e+00,4979,5558
128,1.054050e-01,7.389532e-02,7.028355e-02,4.552000e-01,4.054636e+01,2.247448e+01,6.332763e+00,6.889324e+00,3.748025e+00,4993,5542
129,1.056916e-01,7.653591e-02,7.342983e-02,4.825488e-01,4.024064e+01,2.332154e+01,6.859323e+00,7.361624e+00,3.882077e+00,5002,5545
130,1.060381e-01,7.901586e-02,7.566617e-02,7.560081e-01,4.394278e+01,3.237460e+01,7.015471e+00,7.614387e+00,3.920277e+00,5001,5543
131,1.063850e-01,8.335090e-02,7.891811e-02,5.314579e-01,5.525898e+01,2.850913e+01,7.429629e+00,8.077469e+00,4.105729e+00,4981,5600
132,1.079752e-01,8.615054e-02,8.167166e-02,6.161079e-01,5.756920e+01,3.634005e+01,7.780535e+00,8.428810e+00,4.136448e+00,4977,5588
133,1.113281e-01,8.902034e-02,8.582557e-02,6.283655e-01,5.612974e+01,3.120861e+01,8.427599e+00,9.281189e+00,4.155573e+00,4997,5571
134,1.147311e-01,9.066948e-02,8.785296e-02,7.850914e-01,5.716469e+01,3.205223e+01,8.612276e+00,9.682249e+00,4.111285e+00,5005,5548
135,1.182244e-01,9.515291e-02,9.467125e-02,7.392979e-01,6.859116e+01,2.627340e+01,9.163630e+00,1.028095e+01,4.272401e+00,5009,5531
136,1.220129e-01,9.773204e-02,9.368753e-02,8.763008e-01,7.195689e+01,3.237878e+01,9.955259e+00,1.230638e+01,4.463576e+00,4979,5566
137,1.262217e-01,9.922352e-02,9.725972e-02,9.504662e-01,9.133066e+01,2.864261e+01,1.096063e+01,1.424959e+01,4.473554e+00,4986,5530
138,1.303739e-01,1.146045e-01,1.008711e-01,8.186302e-01,7.671652e+01,2.835961e+01,1.226504e+01,1.482130e+01,4.508124e+00,5007,5527
139,1.347334e-01,1.185420e-01,1.030598e-01,8.578987e-01,7.353902e+01,3.188280e+01,1.472022e+01,1.476492e+01,4.478284e+00,4990,5545
140,1.392666e-01,1.164294e-01,1.029238e-01,1.391998e+00,8.001540e+01,3.227862e+01,1.505904e+01,1.536976e+01,4.577160e+00,4996,5546
141,1.432457e-01,1.143153e-01,1.026921e-01,1.015293e+00,8.577279e+01,3.276055e+01,1.586144e+01,1.914927e+01,4.510252e+00,4988,5528
142,1.431311e-01,1.360382e-01,1.030712e-01,9.770021e-01,8.602129e+01,3.280455e+01,1.606700e+01,1.859139e+01,4.352848e+00,4984,5512
143,1.458962e-01,1.322073e-01,1.048453e-01,9.309006e-01,7.814452e+01,3.276671e+01,1.781167e+01,1.793959e+01,4.811773e+00,5016,5501
